Skill ID Number,Dive Number,Skill Name,Skill Type,Skill Description,Skill Group,Skill Training Points,Skill Difficulty,Skill Rating,Skill Video,Skill Pictures
,100A,Full 4 Step Forward Approach to front jump 3 M Straight,3M,,,,,,,
,100C,Full 4 Step Forward Approach to front jump 3 M Tuck,3M,,,,,,,
,100B,Full 4 Step Forward Approach to front jump 3 M Pike,3M,,,,,,,
,,,3M,,,,,,,
,200A,Back jump with TYTI back press from 3 M - All Positions*,3M,,,,,,,
,200C,Back jump with TYTI back press from 3 M - All Positions*,3M,,,,,,,
,200B,Back jump with TYTI back press from 3 M Pike,3M,,,,,,,
,002A*,Back Line up Straight 3M,3M,,,,,,,
,002C*,Back Line up Tuck 3M,3M,,,,,,,
,002B*,Back Line up Pike 3M,3M,,,,,,,
,101C*,,3M,,,,,,,
,401 C*,,3M,,,,,,,
,101 B*,,3M,,,,,,,
,201 C*,,3M,,,,,,,
,201 B*,,3M,,,,,,,
,401 B*,,3M,,,,,,,
,5221D,,3M,,,,,,,
,103 C*,,3M,,,,,,,
,103 B*,,3M,,,,,,,
,202 C,,3M,,,,,,,
,302 C*,,3M,,,,,,,
,302 B,,3M,,,,,,,
,402C,,3M,,,,,,,
,403C,,3M,,,,,,,
,5132D,"Forward 1 1/2 Somersault, 1 Twist Free",3M,,,,,,,
,5231D,Back 1 1/2 Somersault 1/2 Twist Free,3M,,,,,,,
,105C,Forward 2 1/12 Somersault Tuck,3M,,,,,,,
,403C,Inward 1 1/2 Somersault Tuck,3M,,,,,,,
,203C,Back 1 1/2 Somersault Tuck,3M,,,,,,,
,303C,Reverse 1 1/2 Somersault Tuck,3M,,,,,,,
,105B,Forward 2 1/2 Somersaults Pike,3M,,,,,,,
,205C,Back 2 1/2 Somersaults Tuck,3M,,,,,,,
,305C,Reverse 2 1/2 Somersaults Tuck,3M,,,,,,,
,405C,Inward 2 1/2 Somersaults Tuck,3M,,,,,,,
,5333D,"Reverse 1 1/2 Somersaults, 1 1/2 Twists Free",3M,,,,,,,
